route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
811,1,811,"MWTC-Kate Chegwin-Kiniski - Larkspur-Mdow",,3,,,
812,1,812,"Wagner - MWTC",,3,,,
813,1,813,"Southbound West Edmonton Mall - Lymburn",,3,,,
82,1,82,"Downtown - Mill Woods",,3,,,
83,1,83,"Bonnie Doon- Maple Ridge - Meadows",,3,,,
84,1,84,"Millgate - Capilano",,3,,,
85,1,85,"Downtown - Capilano",,3,,,
87,1,87,"Millgate - Downtown",,3,,,
88,1,88,"Capilano - Downtown",,3,,,
89,1,89,"Meadows - Wild Rose - Tamarack",,3,,,
9,1,9,"Southgate - Downtown - Eaux Claires",,3,,,
90,1,90,"Meadows - Downtown",,3,,,
92,1,92,"Millgate - Pylypow Industrial",,3,,,
94,1,94,"Capilano - University",,3,,,
95,1,95,"Mill Woods - Laurel - Meadows",,3,,,
97,1,97,"Mill Woods - MacEwan - NAIT",,3,,,
98,1,98,"West Edmonton Mall - NAIT",,3,,,
99,1,99,"Capilano - Coliseum - Belvedere",,3,,,
