stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1340,1340,"50 Street & 123 Avenue",,  53.578395,-113.419003,1EDM,,0,
1341,1341,"95 Street & 113 Avenue",,  53.562336,-113.487266,1EDM,,0,
1342,1342,"65 Street & 112 Avenue",,  53.564884,-113.437477,1EDM,,0,
1343,1343,"63 Street & 121 Avenue",,  53.575148,-113.438686,1EDM,,0,
1344,1344,"95 Street & 107A Avenue",,  53.554254,-113.483654,1EDM,,0,
1346,1346,"101 Street & 101A Avenue NS",,  53.541862,-113.493597,1EDM,,0,
1347,1347,"66 Street & 112 Avenue",,  53.564493,-113.439615,1EDM,,0,
1348,1348,"101 Street & 113 Avenue",,  53.562914,-113.493618,1EDM,,0,
1350,1350,"81 Street & 115 Avenue",,  53.565749,-113.465893,1EDM,,0,
1351,1351,"100 Street & Rossdale Road",,  53.538093,-113.490502,1EDM,,0,
1352,1352,"53 Street & 112 Avenue",,  53.567331,-113.423695,1EDM,,0,
1353,1353,"91 Street & 115 Avenue",,  53.565749,-113.480907,1EDM,,0,
1354,1354,"95 Street & 105 Avenue",,  53.549318,-113.481179,1EDM,,0,
1355,1355,"38 Street & 111 Avenue",,  53.564369,-113.399891,1EDM,,0,
1356,1356,"90 Street & Rowland Road",,  53.547626,-113.472339,1EDM,,0,
1357,1357,"78 Street & 120 Avenue",,  53.573506,-113.460647,1EDM,,0,
1358,1358,"99 Street & 104 Avenue",,  53.546640,-113.489998,1EDM,,0,
1359,1359,"50 Street & 118 Avenue",,  53.570284,-113.417996,1EDM,,0,
1360,1360,"101 Street & 107 Avenue",,  53.550925,-113.493848,1EDM,,0,
1361,1361,"61 Street & 121 Avenue",,  53.575144,-113.435689,1EDM,,0,
1362,1362,"82 Street & 115 Avenue",,  53.565888,-113.466723,1EDM,,0,
